model,num_elements,max_value,accuracy,n_problems
Qwen2.5-0.5B-Instruct,9,50,0.0,50
Qwen2.5-0.5B-Instruct,10,50,0.0,50
Qwen2.5-0.5B-Instruct,8,50,0.02,50
Qwen2.5-0.5B-Instruct,10,10,0.02,50
Qwen2.5-0.5B-Instruct,6,20,0.04,50
Qwen2.5-0.5B-Instruct,6,50,0.04,50
Qwen2.5-0.5B-Instruct,7,50,0.04,50
Qwen2.5-0.5B-Instruct,9,20,0.04,50
Qwen2.5-0.5B-Instruct,10,20,0.04,50
Qwen2.5-0.5B-Instruct,5,50,0.06,50
Qwen2.5-0.5B-Instruct,8,20,0.06,50
Qwen2.5-0.5B-Instruct,9,10,0.06,50
Qwen2.5-0.5B-Instruct,4,50,0.08,50
Qwen2.5-0.5B-Instruct,7,20,0.08,50
Qwen2.5-0.5B-Instruct,6,10,0.12,50
Qwen2.5-0.5B-Instruct,7,10,0.12,50
Qwen2.5-0.5B-Instruct,4,20,0.14,50
Qwen2.5-0.5B-Instruct,8,10,0.16,50
Qwen2.5-0.5B-Instruct,5,20,0.18,50
Qwen2.5-0.5B-Instruct,4,10,0.24,50
Qwen2.5-0.5B-Instruct,5,10,0.24,50
